"","workerID","gender","age","income","language","order","personA","personB","food","totalQuant","eatenQuant","affect","probAffect","subjectMeans","subectSDs","zscore","probit"
"86",8,"M",65,6,"English",9,"Bob","Kevin","cookies","10","5","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"87",8,"M",65,6,"English",10,"Mary","Victor","cookies","10","6","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"88",8,"M",65,6,"English",11,"Zack","Ivan","M&M's","10","10","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"89",9,"F",35,6,"English",1,"Nancy","Victoria","cookies","10","1","upset",0,0.486931818181818,0.356439459468764,-1.36609964258037,0.0859538452407933
"90",9,"F",35,6,"English",2,"Stephanie","Iris","cookies","10","0","upset",0.7,0.486931818181818,0.356439459468764,0.597768221665855,0.725002701275462
"91",9,"F",35,6,"English",3,"Emma","Robert","pies","10","5","upset",0.675,0.486931818181818,0.356439459468764,0.527630083657062,0.701121945689427
"92",9,"F",35,6,"English",4,"Tom","Jane","cookies","10","5","upset",0.725,0.486931818181818,0.356439459468764,0.667906359674649,0.747903316208946
"93",9,"F",35,6,"English",5,"Kevin","Steven","cookies","10","10","upset",1,0.486931818181818,0.356439459468764,1.43942587777138,0.924985051578577
"94",9,"F",35,6,"English",6,"Lena","Diana","cookies","10","6","upset",0.725,0.486931818181818,0.356439459468764,0.667906359674649,0.747903316208946
"95",9,"F",35,6,"English",7,"Yvonne","Heather","M&M's","10","0","upset",0.1,0.486931818181818,0.356439459468764,-1.08554709054519,0.138839709491329
"96",9,"F",35,6,"English",8,"Fiona","Kathy","pies","10","6","upset",0.8,0.486931818181818,0.356439459468764,0.87832077370103,0.810115167302506
"97",9,"F",35,6,"English",9,"George","Tracy","cookies","10","8","upset",0.9,0.486931818181818,0.356439459468764,1.1588733257362,0.876746088408641
"98",9,"F",35,6,"English",10,"Olga","Jake","M&M's","10","1","upset",0.05,0.486931818181818,0.356439459468764,-1.22582336656278,0.11013257599917
"99",9,"F",35,6,"English",11,"Patrick","Zack","M&M's","10","4","upset",0.625,0.486931818181818,0.356439459468764,0.387353807639474,0.650752852085229
"100",10,"F",65,6,"English",1,"Nathan","Zack","M&M's","10","7","upset",0.3,0.422727272727273,0.280511274377438,-0.437512798726724,0.330869748101815
"101",10,"F",65,6,"English",2,"Yvonne","Barbara","M&M's","10","2","upset",0.125,0.422727272727273,0.280511274377438,-1.06137364135557,0.144260065438879
"102",10,"F",65,6,"English",3,"Olga","Kathy","cookies","10","2","upset",0.2,0.422727272727273,0.280511274377438,-0.794004708800351,0.213596345038511
"103",10,"F",65,6,"English",4,"David","Ann","pies","10","8","upset",0.8,0.422727272727273,0.280511274377438,1.34494675164141,0.910678784525323
"104",10,"F",65,6,"English",5,"Iris","Stephanie","cookies","10","1","upset",0.125,0.422727272727273,0.280511274377438,-1.06137364135557,0.144260065438879
"105",10,"F",65,6,"English",6,"Cathy","Ivan","pies","10","6","upset",0.775,0.422727272727273,0.280511274377438,1.255823774123,0.895410065004763
"106",10,"F",65,6,"English",7,"Frank","Victor","M&M's","10","9","upset",0.05,0.422727272727273,0.280511274377438,-1.32874257391079,0.0919664569230217
"107",10,"F",65,6,"English",8,"George","Kevin","M&M's","10","3","upset",0.075,0.422727272727273,0.280511274377438,-1.23961959639238,0.107558064476615
"108",10,"F",65,6,"English",9,"Oliver","Rebecca","pies","10","5","upset",0.75,0.422727272727273,0.280511274377438,1.1667007966046,0.878334389490962
"109",10,"F",65,6,"English",10,"Jane","Robert","pies","10","1","upset",0.275,0.422727272727273,0.280511274377438,-0.526635776245131,0.299223271343609
"110",10,"F",65,6,"English",11,"Emma","Victoria","cookies","10","6","upset",0.375,0.422727272727273,0.280511274377438,-0.170143866171504,0.432448498102738
"111",11,"M",25,4,"ENGLISH",1,"Jake","Emma","cookies","10","6","upset",0.35,0.497159090909091,0.410799557481579,-0.358226021009503,0.360087087842788
"112",11,"M",25,4,"ENGLISH",2,"Oliver","Steven","pies","10","10","upset",1,0.497159090909091,0.410799557481579,1.22405416445332,0.889534102337143
"113",11,"M",25,4,"ENGLISH",3,"Winston","Diana","M&M's","10","5","upset",0.225,0.497159090909091,0.410799557481579,-0.662510672060047,0.25382199880461
"114",11,"M",25,4,"ENGLISH",4,"Ann","Matt","cookies","10","1","upset",0.025,0.497159090909091,0.410799557481579,-1.14936611374092,0.125202523390837
"115",11,"M",25,4,"ENGLISH",5,"Victor","Wendy","M&M's","10","0","upset",0,0.497159090909091,0.410799557481579,-1.21022304395103,0.11309665897145
"116",11,"M",25,4,"ENGLISH",6,"Albert","Zack","M&M's","10","9","upset",1,0.497159090909091,0.410799557481579,1.22405416445332,0.889534102337143
"117",11,"M",25,4,"ENGLISH",7,"Edward","Victoria","M&M's","10","2","upset",0,0.497159090909091,0.410799557481579,-1.21022304395103,0.11309665897145
"118",11,"M",25,4,"ENGLISH",8,"Kathy","Grace","cookies","10","8","upset",1,0.497159090909091,0.410799557481579,1.22405416445332,0.889534102337143
"119",11,"M",25,4,"ENGLISH",9,"Patty","Yvonne","cookies","10","9","upset",1,0.497159090909091,0.410799557481579,1.22405416445332,0.889534102337143
"120",11,"M",25,4,"ENGLISH",10,"Kevin","Jane","pies","10","8","upset",1,0.497159090909091,0.410799557481579,1.22405416445332,0.889534102337143
"121",11,"M",25,4,"ENGLISH",11,"Larry","Bob","pies","10","0","upset",0,0.497159090909091,0.410799557481579,-1.21022304395103,0.11309665897145
"122",12,"M",35,4,"English",1,"Kathy","Robert","cookies","10","8","upset",0.325,0.420454545454545,0.327129549371318,-0.291794323190893,0.385221942946941
"123",12,"M",35,4,"English",2,"Nathan","Ivan","pies","10","3","upset",0.05,0.420454545454545,0.327129549371318,-1.13243987333608,0.12872477466532
"124",12,"M",35,4,"English",3,"Patrick","Rebecca","M&M's","10","10","upset",0.675,0.420454545454545,0.327129549371318,0.778118195175714,0.781750331463645
"125",12,"M",35,4,"English",4,"Tom","George","cookies","10","7","upset",0.625,0.420454545454545,0.327129549371318,0.62527354969477,0.734104231609618
"126",12,"M",35,4,"English",5,"Nancy","Steven","pies","10","6","upset",0.725,0.420454545454545,0.327129549371318,0.930962840656657,0.824063606865934
"127",12,"M",35,4,"English",6,"Lena","Iris","cookies","10","6","upset",0.425,0.420454545454545,0.327129549371318,0.0138949677709948,0.505543111759874
"128",12,"M",35,4,"English",7,"Olga","Diana","pies","10","4","upset",0.525,0.420454545454545,0.327129549371318,0.319584258732882,0.625358245614266
"129",12,"M",35,4,"English",8,"Stephanie","Frank","M&M's","10","2","upset",0,0.420454545454545,0.327129549371318,-1.28528451881703,0.0993464390024734
"130",12,"M",35,4,"English",9,"Calvin","Barbara","cookies","10","3","upset",0.075,0.420454545454545,0.327129549371318,-1.05601755059561,0.145480098309999
